schedule,on_frac,ttp,final_S,final_E
continuous,1.0,418.0,0.01589688682870776,101983231.79374298
no_treatment,0.0,1095,999923696.9346703,76303.06532974131
28on/7off,0.8,417.0,51.22381020726014,100127616.54817691
21on/7off,0.75,417.0,411.9973848890604,101502122.94348577
14on/7off,0.6666666666666666,417.0,13264.718141688982,101372459.38401572
14on/14off,0.5,438.0,7923553.070027247,102509605.23044
7on/7off,0.5,440.0,9484217.148820916,101879491.9776989
7on/14off,0.3333333333333333,1095,998990914.0192233,176859.31567301883
7on/21off,0.25,1095,999917211.4532579,82703.3485170684
5on/5off,0.5,441.0,11770478.646241423,102501549.15241127
21on/14off,0.6,421.0,219006.11976008984,102657968.62403199
28on/14off,0.6666666666666666,419.0,13834.41879073722,102105163.86570485
14on/21off,0.4,623.0,422914476.390596,100570933.64043415
adaptive_0.2_0.6,nan,489.0,179942027.9122096,100319538.48248513
adaptive_0.3_0.7,nan,515.5,103967975.2508147,100035567.89133292
adaptive_0.4_0.8,nan,543.5,123387641.33114289,100125790.08635327
adaptive_0.5_0.9,nan,576.5,228564731.9195856,100080193.76110661
