node1,node2,is_SL,known_pair
ATM,ATR,True,True
ATM,BRCA1,False,False
ATM,BRCA2,False,False
ATM,CHK1,True,True
ATM,CHK2,False,False
ATM,PARP1,False,False
ATM,PLK1,False,False
ATM,RB1,False,False
ATM,TP53,False,False
ATM,WEE1,True,True
ATM,WRN,False,False
ATR,BRCA1,False,False
ATR,BRCA2,False,False
ATR,CHK1,False,False
ATR,CHK2,False,False
ATR,PARP1,False,False
ATR,PLK1,False,False
ATR,RB1,False,False
ATR,TP53,True,True
ATR,WEE1,False,False
ATR,WRN,False,False
BRCA1,BRCA2,False,False
BRCA1,PARP1,True,True
BRCA1,PLK1,False,False
BRCA1,RB1,False,False
BRCA1,WRN,True,False
BRCA2,PARP1,True,True
BRCA2,PLK1,False,False
BRCA2,RB1,False,False
BRCA2,WRN,True,False
CHK1,BRCA1,False,False
CHK1,BRCA2,False,False
CHK1,CHK2,False,False
CHK1,PARP1,False,False
CHK1,PLK1,False,False
CHK1,RB1,False,False
CHK1,WEE1,False,False
CHK1,WRN,False,False
CHK2,BRCA1,False,False
CHK2,BRCA2,False,False
CHK2,PARP1,False,False
CHK2,PLK1,False,False
CHK2,RB1,False,False
CHK2,WEE1,False,False
CHK2,WRN,False,False
PARP1,PLK1,False,False
PARP1,RB1,False,False
PARP1,WRN,False,False
RB1,PLK1,True,True
TP53,BRCA1,False,False
TP53,BRCA2,False,False
TP53,CHK1,True,True
TP53,CHK2,False,False
TP53,PARP1,False,False
TP53,PLK1,False,False
TP53,RB1,False,False
TP53,WEE1,True,True
TP53,WRN,False,False
WEE1,BRCA1,False,False
WEE1,BRCA2,False,False
WEE1,PARP1,False,False
WEE1,PLK1,False,False
WEE1,RB1,False,False
WEE1,WRN,False,False
WRN,PLK1,False,False
WRN,RB1,False,False
