k,s,age_midpoint,hazard_per_year
3,0.0,1.0,0.00019000
3,0.0,3.0,0.00135552
3,0.0,5.0,0.00295413
3,0.0,7.0,0.00534298
3,0.0,9.0,0.00761911
3,0.0,11.0,0.00961688
3,0.0,13.0,0.01233473
3,0.0,15.0,0.01473645
3,0.0,17.0,0.01690207
3,0.0,19.0,0.01932936
3,0.0,21.0,0.02056909
3,0.0,23.0,0.02328043
3,0.0,25.0,0.02452900
3,0.0,27.0,0.02644377
3,0.0,29.0,0.02725668
3,0.0,31.0,0.02899020
3,0.0,33.0,0.03067625
3,0.0,35.0,0.03259409
3,0.0,37.0,0.03341111
3,0.0,39.0,0.03392339
3,0.0,41.0,0.03500848
3,0.0,43.0,0.03520997
3,0.0,45.0,0.03651211
3,0.0,47.0,0.03709902
3,0.0,49.0,0.03976862
3,0.0,51.0,0.03924588
3,0.0,53.0,0.04020186
3,0.0,55.0,0.04269717
3,0.0,57.0,0.04137274
3,0.0,59.0,0.04167956
3,0.0,61.0,0.04337239
3,0.0,63.0,0.04361140
3,0.0,65.0,0.04384544
3,0.0,67.0,0.04330459
3,0.0,69.0,0.04567541
3,0.0,71.0,0.04614209
3,0.0,73.0,0.04397408
3,0.0,75.0,0.04636892
3,0.0,77.0,0.04348047
3,0.0,79.0,0.04539378
3,0.0,81.0,0.04686351
3,0.0,83.0,0.04846559
3,0.0,85.0,0.04648204
3,0.0,87.0,0.04645981
3,0.0,89.0,0.04630640
3,0.0,91.0,0.04962904
3,0.0,93.0,0.05075690
3,0.0,95.0,0.04720020
3,0.0,97.0,0.05061560
3,0.0,99.0,0.04824962
3,0.0,101.0,0.05475067
3,0.0,103.0,0.05334847
3,0.0,105.0,0.04997882
3,0.0,107.0,0.05600000
3,0.0,109.0,0.04663487
3,0.0,111.0,0.04646406
3,0.0,113.0,0.05154639
3,0.0,115.0,0.05172414
3,0.0,117.0,0.05889423
3,0.0,119.0,0.05495005
3,0.004,1.0,0.00022000
3,0.004,3.0,0.00132058
