k,s,mu,mean_years,median_years,std_years,neutral_mean_years,speedup_vs_neutral,effective_exponent_30_70,effective_exponent_40_80,theoretical_exponent_k_minus_1
3,0.0,0.07,42.70,38.00,24.65,42.86,1.000,0.529,0.410,2
3,0.004,0.07,40.76,36.89,22.49,42.86,1.048,0.626,0.514,2
3,0.01,0.07,38.43,35.05,20.58,42.86,1.111,0.618,0.486,2
3,0.02,0.07,35.80,32.72,18.95,42.86,1.193,0.533,0.350,2
3,0.04,0.07,32.37,29.35,17.15,42.86,1.319,0.274,0.068,2
5,0.0,0.07,71.34,66.42,32.05,71.43,1.000,1.482,1.194,4
5,0.004,0.07,65.10,61.79,27.12,71.43,1.096,1.557,1.356,4
5,0.01,0.07,59.13,56.25,23.66,71.43,1.206,1.598,1.296,4
5,0.02,0.07,52.90,50.22,20.73,71.43,1.349,1.472,1.067,4
5,0.04,0.07,45.68,43.04,18.12,71.43,1.562,1.058,0.532,4
6,0.0,0.07,85.59,80.82,34.97,85.71,1.000,2.141,1.741,5
6,0.004,0.07,76.87,73.57,28.82,85.71,1.113,2.282,1.917,5
6,0.01,0.07,68.74,66.08,24.69,85.71,1.245,2.301,1.829,5
6,0.02,0.07,60.41,57.88,21.39,85.71,1.417,2.122,1.570,5
6,0.04,0.07,51.20,48.56,18.40,85.71,1.672,1.553,0.949,5
7,0.0,0.07,99.72,95.04,37.59,100.00,1.000,2.839,2.402,6
7,0.004,0.07,87.75,84.46,30.28,100.00,1.136,3.064,2.589,6
7,0.01,0.07,77.51,74.90,25.53,100.00,1.287,3.049,2.487,6
7,0.02,0.07,67.37,65.00,21.70,100.00,1.480,2.878,2.163,6
7,0.04,0.07,56.39,53.91,18.62,100.00,1.768,2.233,1.383,6
