mean_a,mode,p_malignancy,delay_factor,p_escaped,p_no_escape
0.05,homogeneous_low,0.7182,0.9714,0.405,0.595
0.05,graded,0.80385,0.9841,0.3775,0.6225
0.1,homogeneous_low,0.5645,0.9565,0.4662,0.5338
0.1,graded,0.6647,0.9762,0.4203,0.5797
0.2,homogeneous_low,0.40212,0.9606,0.5573,0.4427
0.2,graded,0.4794,0.9714,0.4987,0.5013
0.3,homogeneous_low,0.32817,0.9816,0.6294,0.3706
0.3,graded,0.38012,0.9802,0.5795,0.4205
0.5,homogeneous_low,0.25737,1.0168,0.7107,0.2893
0.5,graded,0.27694,1.0081,0.6773,0.3227
0.7,homogeneous_low,0.22734,1.0411,0.7519,0.2481
0.7,graded,0.23178,1.0289,0.7411,0.2589
1.0,homogeneous_low,0.20068,1.0651,0.789,0.211
1.0,graded,0.20403,1.058,0.7861,0.2139
