mu,k,model,mean,median,exponent,expected,fit_lo,fit_hi,r2
0.07,3,ordered,42.84592539720623,38.22743531448718,1.0644373332459072,2,11.604682249178547,27.30763447688327,0.9883164708590874
0.07,3,unordered,26.22183452754517,22.55888065977026,0.9277144946751298,2,6.565395968760062,15.82502029794829,0.9870396786135747
0.07,4,ordered,57.22160720176506,52.570134429744854,1.4400261763218383,3,19.59475065570622,39.56788304875418,0.9870266165100077
0.07,4,unordered,29.767995298946257,26.25406865047152,1.2319632858587146,3,9.12879546518589,19.199929884870063,0.9880103813925535
0.07,5,ordered,71.46119219151427,66.81876370259458,1.7402974569095806,4,28.140961510089856,51.992015398832486,0.9908412563094798
0.07,5,unordered,32.54943660000015,29.114898058734717,1.439925591854509,4,11.347030816400693,22.01280591711089,0.9882259905163611
0.07,6,ordered,85.702562042057,81.06931567219468,2.110891970198467,5,37.1567735245698,64.49899949951859,0.9838391429046006
0.07,6,unordered,34.91681522569502,31.55731562824205,1.6965280440695123,5,13.333154333539207,24.292228204716398,0.9852310413647941
0.07,7,ordered,100.04716650684888,95.38889680087817,2.3036551071424807,6,46.83281872025297,77.37665477788123,0.9811030623477524
0.07,7,unordered,37.07966955833828,33.7262104234496,1.8605947281949433,6,15.037222327594943,26.340597373925714,0.9882421408123011
0.02,3,ordered,149.77805309663054,133.70320513046005,1.0724864150792826,2,40.92544833960072,95.58500453250797,0.9575909513335588
0.02,3,unordered,91.5845332363333,78.86101558591297,0.9782305291985355,2,23.00396628345907,55.3276782337819,0.9685199436108696
0.02,4,ordered,200.0926544709224,183.70620633322187,1.4428638771156297,3,68.45516350769836,138.28414398176741,0.96672325421107
0.02,4,unordered,104.08849994529534,91.81795455017014,1.2454976807251457,3,32.1152967035432,67.33912129909382,0.9713082534280256
0.02,5,ordered,249.59210583959333,233.32677492202896,1.7770698267000204,4,98.26393048096926,181.71305354385112,0.9608775065800959
0.02,5,unordered,113.81508042163067,101.94103086439438,1.5096798437500445,4,39.59708496603317,76.82816019094427,0.9841079655838637
0.02,6,ordered,299.99857940137235,283.32556562121783,2.2412755313595505,5,130.1440219865179,225.81258381573753,0.9471178812392785
0.02,6,unordered,122.58297843005832,110.8039282431672,1.701589865724528,5,46.67583726883427,85.34306956207023,0.9733328386522957
0.02,7,ordered,350.53955090141324,333.7554878736547,2.792667952409449,6,165.2360419659504,270.6523064533277,0.8125020137412937
0.02,7,unordered,129.61328120355438,118.05087409351961,1.8972380556388222,6,52.68518378327641,92.15884781588049,0.9741927224406306
